Country,# of Netflix Subscribers
Argentina,5069282
Australia,6405917
Austria,930017
Belgium,1643629
Brazil,18221334
Bulgaria,172080
Canada,6670163
Chile,946242
Colombia,2731350
Costa Rica,297777
Croatia,115272
Cyprus,49338
Czech Republic,456795
Denmark,920811
Estonia,52607
Finland,737499
France,8367985
Germany,10696426
Greece,517896
Hungary,339047
India,5031713
Indonesia,882640
Ireland,529599
Italy,3688379
Japan,5192000
Latvia,56859
Lithuania,138416
Luxembourg,83754
Malta,30174
Mexico,8346371
Netherlands,2757700
New Zealand,1311696
Norway,1968164
Poland,1738304
Portugal,694248
Romania,465299
Russia,185396
Singapore,463617
Slovak Republic,189950
Slovenia,92599
South Africa,349977
Republic of Korea,4156632
Spain,4775895
Sweden,1718057
Switzerland,1432631
Turkey,3089928
United Arab Emirates,427186
United Kingdom,12752006
United States of America,67278433
Vietnam,328155
